label,filename,filepath
Abstract Expressionism,Jackson_Pollock_1.jpg,../train_images\Abstract Expressionism\Jackson_Pollock_1.jpg
Abstract Expressionism,Jackson_Pollock_10.jpg,../train_images\Abstract Expressionism\Jackson_Pollock_10.jpg
Abstract Expressionism,Jackson_Pollock_11.jpg,../train_images\Abstract Expressionism\Jackson_Pollock_11.jpg
Abstract Expressionism,Jackson_Pollock_13.jpg,../train_images\Abstract Expressionism\Jackson_Pollock_13.jpg
Abstract Expressionism,Jackson_Pollock_15.jpg,../train_images\Abstract Expressionism\Jackson_Pollock_15.jpg
Abstract Expressionism,Jackson_Pollock_16.jpg,../train_images\Abstract Expressionism\Jackson_Pollock_16.jpg
Abstract Expressionism,Jackson_Pollock_17.jpg,../train_images\Abstract Expressionism\Jackson_Pollock_17.jpg
Abstract Expressionism,Jackson_Pollock_18.jpg,../train_images\Abstract Expressionism\Jackson_Pollock_18.jpg
Abstract Expressionism,Jackson_Pollock_19.jpg,../train_images\Abstract Expressionism\Jackson_Pollock_19.jpg
Abstract Expressionism,Jackson_Pollock_2.jpg,../train_images\Abstract Expressionism\Jackson_Pollock_2.jpg
Abstract Expressionism,Jackson_Pollock_20.jpg,../train_images\Abstract Expressionism\Jackson_Pollock_20.jpg
Abstract Expressionism,Jackson_Pollock_21.jpg,../train_images\Abstract Expressionism\Jackson_Pollock_21.jpg
Abstract Expressionism,Jackson_Pollock_22.jpg,../train_images\Abstract Expressionism\Jackson_Pollock_22.jpg
Abstract Expressionism,Jackson_Pollock_23.jpg,../train_images\Abstract Expressionism\Jackson_Pollock_23.jpg
Abstract Expressionism,Jackson_Pollock_24.jpg,../train_images\Abstract Expressionism\Jackson_Pollock_24.jpg
Abstract Expressionism,Jackson_Pollock_3.jpg,../train_images\Abstract Expressionism\Jackson_Pollock_3.jpg
Abstract Expressionism,Jackson_Pollock_4.jpg,../train_images\Abstract Expressionism\Jackson_Pollock_4.jpg
Abstract Expressionism,Jackson_Pollock_5.jpg,../train_images\Abstract Expressionism\Jackson_Pollock_5.jpg
Abstract Expressionism,Jackson_Pollock_6.jpg,../train_images\Abstract Expressionism\Jackson_Pollock_6.jpg
Abstract Expressionism,Jackson_Pollock_7.jpg,../train_images\Abstract Expressionism\Jackson_Pollock_7.jpg
Abstract Expressionism,Jackson_Pollock_8.jpg,../train_images\Abstract Expressionism\Jackson_Pollock_8.jpg
Abstract Expressionism,Jackson_Pollock_9.jpg,../train_images\Abstract Expressionism\Jackson_Pollock_9.jpg
Byzantine Art,Andrei_Rublev_10.jpg,../train_images\Byzantine Art\Andrei_Rublev_10.jpg
Byzantine Art,Andrei_Rublev_11.jpg,../train_images\Byzantine Art\Andrei_Rublev_11.jpg
Byzantine Art,Andrei_Rublev_12.jpg,../train_images\Byzantine Art\Andrei_Rublev_12.jpg
Byzantine Art,Andrei_Rublev_13.jpg,../train_images\Byzantine Art\Andrei_Rublev_13.jpg
Byzantine Art,Andrei_Rublev_14.jpg,../train_images\Byzantine Art\Andrei_Rublev_14.jpg
Byzantine Art,Andrei_Rublev_15.jpg,../train_images\Byzantine Art\Andrei_Rublev_15.jpg
Byzantine Art,Andrei_Rublev_16.jpg,../train_images\Byzantine Art\Andrei_Rublev_16.jpg
Byzantine Art,Andrei_Rublev_17.jpg,../train_images\Byzantine Art\Andrei_Rublev_17.jpg
Byzantine Art,Andrei_Rublev_19.jpg,../train_images\Byzantine Art\Andrei_Rublev_19.jpg
Byzantine Art,Andrei_Rublev_2.jpg,../train_images\Byzantine Art\Andrei_Rublev_2.jpg
Byzantine Art,Andrei_Rublev_20.jpg,../train_images\Byzantine Art\Andrei_Rublev_20.jpg
Byzantine Art,Andrei_Rublev_22.jpg,../train_images\Byzantine Art\Andrei_Rublev_22.jpg
