,label,filename,filepath,genre
0,Albrecht_Durer,.ipynb_checkpoints,..\raw_images\Albrecht_Durer\.ipynb_checkpoints,Northern Renaissance
1,Albrecht_Durer,Albrecht_Durer_1.jpg,..\raw_images\Albrecht_Durer\Albrecht_Durer_1.jpg,Northern Renaissance
2,Albrecht_Durer,Albrecht_Durer_10.jpg,..\raw_images\Albrecht_Durer\Albrecht_Durer_10.jpg,Northern Renaissance
3,Albrecht_Durer,Albrecht_Durer_100.jpg,..\raw_images\Albrecht_Durer\Albrecht_Durer_100.jpg,Northern Renaissance
4,Albrecht_Durer,Albrecht_Durer_101.jpg,..\raw_images\Albrecht_Durer\Albrecht_Durer_101.jpg,Northern Renaissance
5,Albrecht_Durer,Albrecht_Durer_102.jpg,..\raw_images\Albrecht_Durer\Albrecht_Durer_102.jpg,Northern Renaissance
6,Albrecht_Durer,Albrecht_Durer_103.jpg,..\raw_images\Albrecht_Durer\Albrecht_Durer_103.jpg,Northern Renaissance
7,Albrecht_Durer,Albrecht_Durer_104.jpg,..\raw_images\Albrecht_Durer\Albrecht_Durer_104.jpg,Northern Renaissance
8,Albrecht_Durer,Albrecht_Durer_105.jpg,..\raw_images\Albrecht_Durer\Albrecht_Durer_105.jpg,Northern Renaissance
9,Albrecht_Durer,Albrecht_Durer_106.jpg,..\raw_images\Albrecht_Durer\Albrecht_Durer_106.jpg,Northern Renaissance
10,Albrecht_Durer,Albrecht_Durer_107.jpg,..\raw_images\Albrecht_Durer\Albrecht_Durer_107.jpg,Northern Renaissance
11,Albrecht_Durer,Albrecht_Durer_108.jpg,..\raw_images\Albrecht_Durer\Albrecht_Durer_108.jpg,Northern Renaissance
12,Albrecht_Durer,Albrecht_Durer_109.jpg,..\raw_images\Albrecht_Durer\Albrecht_Durer_109.jpg,Northern Renaissance
13,Albrecht_Durer,Albrecht_Durer_11.jpg,..\raw_images\Albrecht_Durer\Albrecht_Durer_11.jpg,Northern Renaissance
14,Albrecht_Durer,Albrecht_Durer_110.jpg,..\raw_images\Albrecht_Durer\Albrecht_Durer_110.jpg,Northern Renaissance
15,Albrecht_Durer,Albrecht_Durer_111.jpg,..\raw_images\Albrecht_Durer\Albrecht_Durer_111.jpg,Northern Renaissance
16,Albrecht_Durer,Albrecht_Durer_112.jpg,..\raw_images\Albrecht_Durer\Albrecht_Durer_112.jpg,Northern Renaissance
17,Albrecht_Durer,Albrecht_Durer_113.jpg,..\raw_images\Albrecht_Durer\Albrecht_Durer_113.jpg,Northern Renaissance
18,Albrecht_Durer,Albrecht_Durer_114.jpg,..\raw_images\Albrecht_Durer\Albrecht_Durer_114.jpg,Northern Renaissance
19,Albrecht_Durer,Albrecht_Durer_115.jpg,..\raw_images\Albrecht_Durer\Albrecht_Durer_115.jpg,Northern Renaissance
20,Albrecht_Durer,Albrecht_Durer_116.jpg,..\raw_images\Albrecht_Durer\Albrecht_Durer_116.jpg,Northern Renaissance
21,Albrecht_Durer,Albrecht_Durer_117.jpg,..\raw_images\Albrecht_Durer\Albrecht_Durer_117.jpg,Northern Renaissance
22,Albrecht_Durer,Albrecht_Durer_118.jpg,..\raw_images\Albrecht_Durer\Albrecht_Durer_118.jpg,Northern Renaissance
23,Albrecht_Durer,Albrecht_Durer_119.jpg,..\raw_images\Albrecht_Durer\Albrecht_Durer_119.jpg,Northern Renaissance
24,Albrecht_Durer,Albrecht_Durer_12.jpg,..\raw_images\Albrecht_Durer\Albrecht_Durer_12.jpg,Northern Renaissance
25,Albrecht_Durer,Albrecht_Durer_120.jpg,..\raw_images\Albrecht_Durer\Albrecht_Durer_120.jpg,Northern Renaissance
26,Albrecht_Durer,Albrecht_Durer_121.jpg,..\raw_images\Albrecht_Durer\Albrecht_Durer_121.jpg,Northern Renaissance
27,Albrecht_Durer,Albrecht_Durer_122.jpg,..\raw_images\Albrecht_Durer\Albrecht_Durer_122.jpg,Northern Renaissance
28,Albrecht_Durer,Albrecht_Durer_123.jpg,..\raw_images\Albrecht_Durer\Albrecht_Durer_123.jpg,Northern Renaissance
29,Albrecht_Durer,Albrecht_Durer_124.jpg,..\raw_images\Albrecht_Durer\Albrecht_Durer_124.jpg,Northern Renaissance
30,Albrecht_Durer,Albrecht_Durer_125.jpg,..\raw_images\Albrecht_Durer\Albrecht_Durer_125.jpg,Northern Renaissance
31,Albrecht_Durer,Albrecht_Durer_126.jpg,..\raw_images\Albrecht_Durer\Albrecht_Durer_126.jpg,Northern Renaissance
32,Albrecht_Durer,Albrecht_Durer_127.jpg,..\raw_images\Albrecht_Durer\Albrecht_Durer_127.jpg,Northern Renaissance
33,Albrecht_Durer,Albrecht_Durer_128.jpg,..\raw_images\Albrecht_Durer\Albrecht_Durer_128.jpg,Northern Renaissance
34,Albrecht_Durer,Albrecht_Durer_129.jpg,..\raw_images\Albrecht_Durer\Albrecht_Durer_129.jpg,Northern Renaissance
35,Albrecht_Durer,Albrecht_Durer_13.jpg,..\raw_images\Albrecht_Durer\Albrecht_Durer_13.jpg,Northern Renaissance
36,Albrecht_Durer,Albrecht_Durer_130.jpg,..\raw_images\Albrecht_Durer\Albrecht_Durer_130.jpg,Northern Renaissance
37,Albrecht_Durer,Albrecht_Durer_131.jpg,..\raw_images\Albrecht_Durer\Albrecht_Durer_131.jpg,Northern Renaissance
38,Albrecht_Durer,Albrecht_Durer_132.jpg,..\raw_images\Albrecht_Durer\Albrecht_Durer_132.jpg,Northern Renaissance
39,Albrecht_Durer,Albrecht_Durer_133.jpg,..\raw_images\Albrecht_Durer\Albrecht_Durer_133.jpg,Northern Renaissance
40,Albrecht_Durer,Albrecht_Durer_134.jpg,..\raw_images\Albrecht_Durer\Albrecht_Durer_134.jpg,Northern Renaissance
41,Albrecht_Durer,Albrecht_Durer_135.jpg,..\raw_images\Albrecht_Durer\Albrecht_Durer_135.jpg,Northern Renaissance
42,Albrecht_Durer,Albrecht_Durer_136.jpg,..\raw_images\Albrecht_Durer\Albrecht_Durer_136.jpg,Northern Renaissance
43,Albrecht_Durer,Albrecht_Durer_137.jpg,..\raw_images\Albrecht_Durer\Albrecht_Durer_137.jpg,Northern Renaissance
44,Albrecht_Durer,Albrecht_Durer_138.jpg,..\raw_images\Albrecht_Durer\Albrecht_Durer_138.jpg,Northern Renaissance
45,Albrecht_Durer,Albrecht_Durer_139.jpg,..\raw_images\Albrecht_Durer\Albrecht_Durer_139.jpg,Northern Renaissance
